"individual","trait","trait_id","population"
532,0.414367208659989,1,11
533,0.446209081722775,1,11
534,-0.0344785025135241,1,11
535,-0.763690488103357,1,11
536,0.244382184860595,1,11
537,-0.045724836808638,1,11
538,0.556064038650474,1,11
539,0.472671777729252,1,11
540,-0.974733233161887,1,11
541,-0.750425040421908,1,11
542,-0.621580961471006,1,11
543,-0.106418233536001,1,11
544,0.496318879394506,1,11
545,-0.367828972306691,1,11
546,0.0422985870923709,1,11
547,0.506535581423422,1,11
548,0.161586312373911,1,11
549,-0.269403256636061,1,11
550,0.0479874333470642,1,11
551,0.1564084307573,1,12
552,0.534010414176843,1,12
553,0.313050675812628,1,12
554,0.47857819378741,1,12
555,0.143029774002868,1,12
556,0.790678471711388,1,12
557,0.698373001119163,1,12
558,0.452884827975593,1,12
559,-0.610816442969115,1,12
560,0.344565861674659,1,12
561,0.769720941563486,1,12
562,-0.148660330044487,1,12
563,0.53668462880602,1,12
564,0.227359508772252,1,12
565,-0.386089553436048,1,12
566,-0.215840110934767,1,12
567,0.451798676832428,1,12
568,0.372156901127695,1,12
569,0.604019651954682,1,12
570,-0.116700023476564,1,12
571,-0.28897420466241,1,12
572,-0.111807907965754,1,12
573,0.156964256082848,1,12
574,0.945551013228951,1,12
575,0.494078054835583,1,12
576,0.411364792145467,1,12
577,1.66993911113891,1,12
578,0.904625259164471,1,12
579,0.133204233639001,1,12
580,0.0892685343918029,1,12
581,0.556999529989775,1,12
582,0.0308258240804388,1,12
583,0.248363615380667,1,12
584,0.960447401773741,1,12
585,0.656301008343681,1,12
586,0.2333525688,1,12
587,0.324845058910429,1,12
588,1.39971406989256,1,12
589,0.0579346059618117,1,12
590,-0.439522308941215,1,12
591,0.0961725780317313,1,12
592,0.411522495190742,1,12
593,-0.404916096599484,1,12
594,0.281280945245562,1,12
595,-0.0536631694435768,1,12
596,-0.512626625192019,1,12
597,0.439092776362716,1,12
598,0.761582614757551,1,12
599,0.116288317250303,1,12
600,-0.643189875612579,1,12
601,0.0619120270115392,1,13
602,0.548474838028816,1,13
603,0.44647509500418,1,13
604,0.483528272401224,1,13
605,0.4321899604337,1,13
606,0.759277868060093,1,13
607,0.820647712685171,1,13
608,0.436105833342729,1,13
609,0.412780103199883,1,13
610,0.608347451918341,1,13
611,0.561445590801195,1,13
612,-0.0693307335018385,1,13
613,0.440968750301986,1,13
614,0.260450464054828,1,13
615,0.513087781622903,1,13
616,0.859811818105746,1,13
617,0.0333293419657749,1,13
618,-0.0666397406626377,1,13
619,-0.284554767445412,1,13
620,0.0135402401437383,1,13
621,0.247045835239162,1,13
622,0.801644358518322,1,13
623,-0.13655477925871,1,13
624,0.869770814315699,1,13
625,0.432649095364608,1,13
626,0.18311772430989,1,13
627,-0.678895029157454,1,13
628,0.090770341742913,1,13
629,-0.0196794622995052,1,13
630,-0.488273177373746,1,13
631,0.586791837934216,1,13
632,0.37074390984339,1,13
633,0.513080907745257,1,13
634,-0.0882562173620892,1,13
635,0.0600084211258013,1,13
636,0.00763022746455374,1,13
637,-0.201376758530444,1,13
638,0.597089454982839,1,13
639,-0.290283599410714,1,13
640,-0.284342148198442,1,13
641,0.474154052061973,1,13
